Tweet,Sentiment
"Dengan lebih baik dalam segi apapun. semua senang kalau negara beneran bisa bikin program yang beneran bagus. kalau makan bergizi gratis ini nanti dievaluasi terus menerus, mungkin anak cucu kita bisa merasakan makan siang enak kenyang dan bernutrisi di sekolah setiap hari.",Neutral
"Program makan siang gratis ada anak yang request menu sushi atau katsu, bro pikir ini warung ramen ichiraku apa.",Neutral
Smp negeri woropko dukung program makan siang gratis,Neutral
"Org menengah kali, org kaya mah bodo amat bayangin aja uang pajak hasil jerih payah smpe liang bool bekeringat dianggarkan ke program yg trnyata tdk sesuai janji, apalagi makan siang gratis blm merata di tiap daerah, ada yg menunya wow, ada jg yg memprihatinkan",Positive
"Lihat bagaimana dan dedi ""tituler"" sudah turun gunung itu berarti mereka sudah kebakaran jenggot a…",Neutral
"Kalau tujuan program makan siang bergizi gratis adalah untuk mencegah stunting, sementara menu yang disajikan juga terny…",Neutral
Program tidak ada makan siang gratis,Neutral
Ayo...siapa yg berani bilang program makan siang gratis di jepang krn anak2 di jepang lapar?,Neutral
Program makan siang gratis ide anies baswedan,Neutral
Program makan siang gratis,Neutral
