Tweet,Sentiment
"Link video di rep twt deddy diatas adalah salah satu contoh kegagapan pemerintah periode skrg dalam menyiapkan makan siang gratis. sebenernya program makan siang gratis ini bukan prioritas untuk menaikkan kualitas sdm indo, menurut sy. cm krn udh terlanjur yaudah lah anying—",Neutral
Program makan siang gratis program ladang koropsi,Neutral
"Asal bukan media asing china, sebab china ikut bantu rp72t untuk program makan siang gratis. 😂",Neutral
"Di sekolah anak gue gak ada tuh makan siang gratis 🤣 anak gue dr jaman dulu juga makan gratis, gak penting , itu program bodoh !! amanat uud 45 itu pendidikan gratis, banyak anak bangsa putus sekolah,dedy corbuzier lu tambah lama tambah tolol 🤣",Neutral
"Dari poin yg sudah saya sampaikan, tinggal masukan aja, point program makan siang gratis yg berpotensi menyebabkan masalah struktural layak untuk diteruskan, diperbaiki atau di stop",Neutral
"Semenjak ada program makan siang gratis ini, gimana nasib yang jualan di kantin sekolah ya?",Neutral
Ngerti konteksnya gasih astaga? ini lan program pemerintah. wajar lah dikritik. namanya makan siang gratis padahal sebenernya ga gratis. ga ada gizi nya juga. astagaaaaaa,Neutral
"Saran saya pak gak usah malu buat stop program makan gratis, mending uang anggaran bisa dimanfaatkan untuk hal positif lainya, program itu justru menjadi ajang cari untung n korupsi jg hasil makanannya dibawah kwalitas, masak dr fajar sampek siang tuh ada yg basi",Neutral
"Bener2 bersyukur homeschooling ga approve program makan bergizi (siang) gratis, mereka mengkritisinya to the point anti gaenakan dan bakal frontal sampe ke akar2",Neutral
"Asal bukan media asing china, sebab china ikut bantu rp72t untuk program makan siang gratis. 😂",Neutral
