Tweet,Sentiment
Jadi kepikiran kalau program makan siang gratis tuh sebenernya belum sempet didiskusikan sama prabowo dan timsesnya pad…,Neutral
"Pemerintah hanya sibuk memikirkan sumber dana program makan siang gratis ini, comot sana, comot sini. realisasi…",Neutral
"Antara mbg dengan kemampuan ortu ngasih mi instan adalah dua kasus yg berbeda. program mbg katanya solusi masalah stanting, makan mi instan adl masalah kemiskinan. masalah kemiskinan tentu solusinya bukan makan siang gratis, tapi berikan pekerjaan dan upah yg layak!!!",Neutral
Gak ngaca ya? program makan siang gratis sama aja kan?,Neutral
Influencer pro rezim ketika ada anak yang gak suka menu makanan di program makan siang gratis:,Neutral
Emang ada ya buzzer khusus mengkritisi program makan siang gratis itu? emang siapa yang bayar?,Neutral
Program makan siang bergizi gratis memberikan harapan baru bagi para siswa di papua agar bisa tumbuh dengan sehat dan cerdas,Neutral
"Hei kenapa gak kaji ulang program makan siang gratis kalian yg keteteran, menu makan juga gak layak…",Neutral
"Klo ada 1 kata yang harus dihilangin dari ""program makan siang bergizi gratis"", menurut gw ya gratis nya itu",Neutral
"Lihat bagaimana dan dedi ""tituler"" sudah turun gunung itu berarti mereka sudah kebakaran jenggot akibat ulah mereka sendiri terlalu gegabah bikin program makan siang gratis nyekek",Neutral
