Tweet,Sentiment
"Assalamualaikum bapak prabowo, tanpa mengurangi rasa hormat, kami mohon kesediaan bapak untuk membantu melakukan deploy token $prabowo di pumpfun sebagai upaya menambahkan dana untuk program makan siang gratis. terima kasih atas perhatian dan dukungannya",Neutral
Program tidak ada makan siang gratis,Neutral
Setan2 goblok bawahan prabowo lagi sibuk cari alternatif dana untuk program tolol.. makan siang gratis,Neutral
Influencer pro rezim ketika ada anak yang gak suka menu makanan di program makan siang gratis:,Neutral
Influencer pro rezim ketika ada anak yang gak suka menu makanan di program makan siang gratis:,Neutral
"Dengan lebih baik dalam segi apapun. semua senang kalau negara beneran bisa bikin program yang beneran bagus. kalau makan bergizi gratis ini nanti dievaluasi terus menerus, mungkin anak cucu kita bisa merasakan makan siang enak kenyang dan bernutrisi di sekolah setiap hari.",Neutral
"Program makan siang gratis ada anak yang request menu sushi atau katsu, bro pikir ini warung ramen ichiraku apa.",Neutral
Smp negeri woropko dukung program makan siang gratis,Neutral
"Org menengah kali, org kaya mah bodo amat bayangin aja uang pajak hasil jerih payah smpe liang bool bekeringat dianggarkan ke program yg trnyata tdk sesuai janji, apalagi makan siang gratis blm merata di tiap daerah, ada yg menunya wow, ada jg yg memprihatinkan",Positive
"Lihat bagaimana dan dedi ""tituler"" sudah turun gunung itu berarti mereka sudah kebakaran jenggot a…",Neutral
