Tweet,Sentiment
Program makan siang bergizi gratis memberikan harapan baru bagi para siswa di papua agar bisa tumbuh dengan sehat dan cerdas,Neutral
"Hei kenapa gak kaji ulang program makan siang gratis kalian yg keteteran, menu makan juga gak layak…",Neutral
"Klo ada 1 kata yang harus dihilangin dari ""program makan siang bergizi gratis"", menurut gw ya gratis nya itu",Neutral
"Lihat bagaimana dan dedi ""tituler"" sudah turun gunung itu berarti mereka sudah kebakaran jenggot akibat ulah mereka sendiri terlalu gegabah bikin program makan siang gratis nyekek",Neutral
Influencer pro rezim ketika ada anak yang gak suka menu makanan di program makan siang gratis:,Neutral
"Link video di rep twt deddy diatas adalah salah satu contoh kegagapan pemerintah periode skrg dalam menyiapkan makan siang gratis. sebenernya program makan siang gratis ini bukan prioritas untuk menaikkan kualitas sdm indo, menurut sy. cm krn udh terlanjur yaudah lah anying—",Neutral
Program makan siang gratis program ladang koropsi,Neutral
"Asal bukan media asing china, sebab china ikut bantu rp72t untuk program makan siang gratis. 😂",Neutral
"Di sekolah anak gue gak ada tuh makan siang gratis 🤣 anak gue dr jaman dulu juga makan gratis, gak penting , itu program bodoh !! amanat uud 45 itu pendidikan gratis, banyak anak bangsa putus sekolah,dedy corbuzier lu tambah lama tambah tolol 🤣",Neutral
"Dari poin yg sudah saya sampaikan, tinggal masukan aja, point program makan siang gratis yg berpotensi menyebabkan masalah struktural layak untuk diteruskan, diperbaiki atau di stop",Neutral
