Tweet,Sentiment
Opini gue kontra sama om ded. makan siang gratis itu gak gratis tapi pake apbn. anak-anak indonesia harusnya dibiasakan unt…,Neutral
Opini gue kontra sama om ded. makan siang gratis itu gak gratis tapi pake apbn. anak-anak indonesia harusnya dibiasakan unt…,Neutral
Opini gue kontra sama om ded. makan siang gratis itu gak gratis tapi pake apbn. anak-anak indonesia harusnya dibiasakan unt…,Neutral
Opini gue kontra sama om ded. makan siang gratis itu gak gratis tapi pake apbn. anak-anak indonesia harusnya dibiasakan unt…,Neutral
Opini gue kontra sama om ded. makan siang gratis itu gak gratis tapi pake apbn. anak-anak indonesia harusnya dibiasakan unt…,Neutral
Opini gue kontra sama om ded. makan siang gratis itu gak gratis tapi pake apbn. anak-anak indonesia harusnya dibiasakan unt…,Neutral
Opini gue kontra sama om ded. makan siang gratis itu gak gratis tapi pake apbn. anak-anak indonesia harusnya dibiasakan unt…,Neutral
"Betul. gak ada program lain selain makan siang gratis, penggemukan wajib pajak di kebun binatang, dan mencabut ijin tambang ilegal. 🤣🤣🤣 selain itu nggak ada yang dikampanyekan. oh, joget gemoy sih, yang sekarang dijadikan senam politik.",Neutral
Opini gue kontra sama om ded. makan siang gratis itu gak gratis tapi pake apbn. anak-anak indonesia harusnya dibiasakan unt…,Neutral
Opini gue kontra sama om ded. makan siang gratis itu gak gratis tapi pake apbn. anak-anak indonesia harusnya dibiasakan unt…,Neutral
